Event,Slug,Script,Episode,What to review,Era,Region,Severity,Category,Anchor (narrator),Why this anchor,Doc voice M,Doc voice F,Anchor wpm,Word ceiling,Words,Est. minutes,Rendered minutes,Drift vs estimate (min),Gate,Perspectives,Perspective titles,Scenes,Rests,Documents read aloud,Voices in script,Cold open (the misconception it refuses),Close (last beat),Written before these rules existed,Chapters,File MB,Listen,Event page
The Cambodian Genocide,cambodian-genocide,written,rendered,predates the institutional-voice convention: a report or agency may be read in the F voice,contemporary,,catastrophic,genocide,bm_lewis,catastrophic genocide: the gravest voice,bm_george,af_aoede,146.0,2029,1778,13.28,13.64,0.36,clean,5,The Khmer Rouge | The Survivors | Vietnamese Liberation | The Tribunal | Regional Intervention,4,7,3,F+M+N,"You picture this as an assembly line. Guards, a queue, a single shot. The tribunal that spent sixteen years counting the dead found something else. Of the one and a half million to two million who died, about eight hundred thousand died of starvation and disease. About five hundred thousand were executed. And execution rarely meant a bullet. At the killing fields outside Phnom Penh, guards killed with iron bars, bamboo sticks, machetes, and sharpened palm leaves. A bullet cost money the regime did not want to spend.","In nineteen seventy nine, after the killing stopped, Cambodia had fewer than fifty doctors left in the entire country. The median age in Cambodia today is twenty six. More than half the country was born after it ended.",institutional-voice convention,13,12.5,https://news.voidvision.org/audio/history/cambodian-genocide.mp3,https://news.voidvision.org/history/cambodian-genocide/
The Chernobyl Disaster,chernobyl-disaster,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,catastrophic,disaster,bm_lewis,catastrophic disaster: the gravest voice,bm_george,af_aoede,146.0,2029,1472,11.18,11.22,0.04,clean,5,The Soviet state | The liquidators and the evacuated | The epidemiologists | The reactor engineers | Glasnost and the collapse,4,7,2,F+M+N,"On the morning of the twenty eighth of April, nineteen eighty six, a routine radiation monitor at a nuclear plant in Sweden went off as a worker walked in from outside. They checked their own reactor first, and found nothing wrong with it. Then they worked out that the contamination was on his shoes, that it had come in from the air, and that the wind that morning was coming from the southeast. That is how the world found out. Two days after the explosion, from a shoe, in a different country.","The reactor is now inside a steel arch, a hundred and eight metres high, moved into place in twenty sixteen. It is designed to last a hundred years, which is not the same as being finished. Pripyat is still standing. The school, the swimming pool, the fairground with a ferris wheel that was due to open five days after the explosion and never carried a passenger. The exclusion zone is now, by some measures, one of the more successful wildlife reserves in Europe, which tells you what the main threat to wildlife in Europe usually is. And the world still found out from a shoe.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,10.3,https://news.voidvision.org/audio/history/chernobyl-disaster.mp3,https://news.voidvision.org/history/chernobyl-disaster/
The Congo Free State,congo-free-state,written,rendered,"OVER the 15 min format ceiling at 15.46 (audio gate allows 15.5): re-cut the script or accept // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the institutional-voice convention: a report or agency may be read in the F voice",modern,,catastrophic,genocide,bm_lewis,catastrophic genocide: the gravest voice,bm_george,af_aoede,146.0,2029,1959,14.52,15.46,0.94,clean,5,Leopold's private empire | The Congolese village | The reformers' ledger | The postcolonial reckoning | The resistance the record kept,4,7,5,F+M+N,"You think of a colony as a country's project: a budget line, a cabinet answering to a parliament back home. The Congo Free State was none of that. It answered to no parliament, sat on no Belgian budget. It was owned, personally, by one man. Leopold the Second of Belgium never set foot in the land he owned for twenty three years. He ran an area seventy six times the size of his own small country from an office in Brussels, and called it free.","Leopold received fifty million francs for a colony he had personally owned for twenty three years and never once visited. The Royal Palace at Laeken and the Cinquantenaire Park still stand in Brussels, built on the two hundred twenty million francs his rubber years produced. The archives that could have told the rest of it burned for eight days before anyone else could read them.",H-11 secondhand + impersonated voice; institutional-voice convention,13,14.2,https://news.voidvision.org/audio/history/congo-free-state.mp3,https://news.voidvision.org/history/congo-free-state/
The Creation of Israel and the Nakba,creation-of-israel-nakba,written,rendered,"gate: warn H-10; warn H-10; warn H-10; warn H-10; warn H-10; warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,catastrophic,independence,bm_lewis,catastrophic independence: the gravest voice,bm_george,af_aoede,146.0,2029,1984,14.69,14.57,-0.12,warn H-10; warn H-10; warn H-10; warn H-10; warn H-10; warn H-10,5,The Israeli account | The Palestinians | The British mandate | The new historians | The Arab states,4,5,2,M+N,"At four in the afternoon on the fourteenth of May, nineteen forty eight, a man read a declaration aloud in a museum in Tel Aviv. Eleven minutes later the United States recognised the state it created. It is usually told from there. Two peoples, one piece of ground, an ancient claim on each side. The papers from that year are full of a third thing. An empire that had promised the same territory to two peoples in one sentence and was leaving on a deadline. And a king whose army invaded the next morning, who had already agreed in private, twelve days before the United Nations voted, to divide the country with the people he was about to fight.","There have been five major wars since, and the thing the nineteen forty nine armistice lines were supposed to be temporary about is now older than almost everyone living inside them. Between seven hundred thousand and seven hundred and fifty thousand Palestinians were displaced and not allowed back. Over the following quarter century, around eight hundred and fifty thousand Jews left or were driven out of Arab countries, most of them to Israel. Both of those numbers belong to this history, and neither one cancels the other. The mediator who wrote that the refugees were victims of a conflict not of their making had that report on the record for one day.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,13.4,https://news.voidvision.org/audio/history/creation-of-israel-nakba.mp3,https://news.voidvision.org/history/creation-of-israel-nakba/
The Crusades,the-crusades,written,rendered,"gate: warn H-10; warn H-10; warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",medieval,,critical,war,am_michael,critical war,bm_daniel,af_aoede,140.0,1946,1848,14.3,14.02,-0.28,warn H-10; warn H-10; warn H-10,5,The Latin crusaders | The Muslim world | Byzantium | The modern historians | The Rhineland,5,6,3,M+N,"The Fourth Crusade never reached Jerusalem. It never even turned south. In twelve hundred and four it sacked Constantinople, the largest Christian city in the world, and looted it for three days. And the First Crusade started killing eight hundred miles from Jerusalem, in the Rhine valley, in the spring before it crossed into Asia. The people it killed there were not Muslims. Two centuries of war are filed under a single word, and a great deal of what the word covers was aimed at other Christians, and at Jews, and at nobody in the Holy Land at all.","Acre, the last crusader city, fell in twelve ninety one. Two hundred and ninety six years later Constantinople was Ottoman, and the Latin states were a memory that had lasted less time than the argument about them has. The word is still live ammunition. An American president used it about a war in September two thousand and one and had to stop using it within days. The relics taken out of Constantinople in twelve hundred and four are still in churches in Venice and France. And in Mainz, in the memorial book, the names of the people killed in May ten ninety six are still read aloud in synagogue, nine hundred and thirty years later.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,12.9,https://news.voidvision.org/audio/history/the-crusades.mp3,https://news.voidvision.org/history/the-crusades/
The Cuban Missile Crisis,cuban-missile-crisis,written,rendered,"gate: warn H-10; warn H-10; warn H-10; warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,critical,political,bm_george,critical political: mid weight,bm_lewis,af_aoede,145.0,2015,1741,13.11,13.09,-0.02,warn H-10; warn H-10; warn H-10; warn H-10,5,The American room | The Soviet calculation | The Cubans | The deterrence theorists | The declassified record,4,5,1,M+N,"The story as it is usually told happens in two rooms. A cabinet room in Washington and an office in Moscow, thirteen days, two men, and a blink. The moment that came closest to ending it was neither of those rooms. It was two hundred feet under the Sargasso Sea, in a submarine that had been out of contact with Moscow for days, and it turned on one officer refusing. And the thing that makes the whole crisis look different is a number that Washington did not learn for forty years. There were already a hundred and sixty two nuclear warheads on the island.","The direct line between Washington and Moscow was installed the following summer, because the crisis had been conducted partly through public broadcasts and partly through a journalist. A test ban treaty followed in nineteen sixty three, and a non proliferation treaty five years later. Vasili Arkhipov went back to the Soviet navy, was promoted, retired as a vice admiral, and died in nineteen ninety eight, before almost anybody outside his own service knew what he had done. He was not being brave. By his own account he was following the rules, which happened to require three signatures, and he did not give his.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,12.0,https://news.voidvision.org/audio/history/cuban-missile-crisis.mp3,https://news.voidvision.org/history/cuban-missile-crisis/
The Cuban Revolution,cuban-revolution,written,rendered,predates the institutional-voice convention: a report or agency may be read in the F voice,contemporary,,major,revolution,bm_george,major revolution: mid weight,bm_lewis,af_aoede,145.0,2015,1763,13.26,14.33,1.07,clean,5,Revolutionary Vanguard / Anti-Imperial Liberation | Cuban Exile / Miami | Campesino / Social Gains | United States / Cold War Washington | Revisionist Scholarship / Gains Weighed Against Authoritarianism,5,7,2,F+M+N,"The ending, first: guerrillas marching into Havana, the dictator's palace empty, a revolution won by force of arms. The record says the capital fell without a single shot. Fulgencio Batista had already boarded a plane before dawn. And the army that is supposed to have won that war had, three years earlier, been reduced from eighty one men to about a dozen inside three days. A failed barracks raid became the government that outlasted ten American presidents. Between those two facts is where this story actually happened.","Camilo Cienfuegos, who led one of the two columns into Havana, disappeared over the sea in a small plane that October. The wreck was never found. Fidel Castro's brother Raul, a guerrilla commander in this same war, governed Cuba himself from two thousand eight to two thousand eighteen. On October nineteenth, nineteen sixty, the United States imposed a trade embargo on Cuba. It has never been lifted. In twenty twenty six, sixty six years later, it is still the law.",institutional-voice convention,14,13.1,https://news.voidvision.org/audio/history/cuban-revolution.mp3,https://news.voidvision.org/history/cuban-revolution/
The Fall of Constantinople,fall-of-constantinople,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",medieval,,catastrophic,political,am_michael,"catastrophic political: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1884,14.56,14.85,0.29,clean,5,The Ottoman and Turkish account | The Byzantine and Greek Orthodox account | The Western European and Latin Christian account | The Balkan Christian account | The Venetian and Genoese merchants,5,6,3,M+N,"Ottoman cannon fired at the Theodosian Walls of Constantinople for fifty three days straight, walls that had turned back every siege for a thousand years, and the walls held. What let the army in was not the guns. It was a wounded commander carried off to the ships, and a small gate on the city's north side that somebody left open, or stopped defending, nobody agrees which. An empire that had called itself Rome for eleven hundred and twenty three years ended through that gate, in the last hour of a siege the biggest cannon ever built had not quite won.","The Hagia Sophia outlasted every argument made in its name. A cathedral for nine hundred and sixteen years. A mosque for four hundred and eighty one years, starting the year the city fell. A museum from nineteen thirty four. A mosque again from two thousand and twenty.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,13.6,https://news.voidvision.org/audio/history/fall-of-constantinople.mp3,https://news.voidvision.org/history/fall-of-constantinople/
The Fall of Tenochtitlan,fall-of-tenochtitlan,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",early-modern,,catastrophic,empire,am_michael,"catastrophic empire: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1862,14.4,13.79,-0.61,clean,5,The conquistadors | The Mexica | Tlaxcala | The Catholic mission | Modern Mexico,5,5,3,M+N,"Five hundred Spaniards took an empire of millions. That is the sentence, and it has never added up. At the siege that ended it, the Spanish force was maybe nine hundred men. Standing with them were somewhere between seventy five thousand and two hundred thousand indigenous soldiers, who had their own reasons, their own commanders, and their own terms. And the other half of the story, the one about a king who mistook a Spanish captain for a returning god and handed over his empire, does not appear in a single Nahuatl source written before the conquest. It was assembled afterwards, to explain something that otherwise needed explaining.","The city fell on the thirteenth of August, fifteen twenty one. Within a century, the population of central Mexico had gone from about twenty five million people to about one million. Most of that was disease, and disease is not a policy, and the conquest is what put it into a population with no immunity to any of it. Mexico City was built directly on top of the wreckage, using its stone. And in nineteen seventy eight, electrical workers digging behind that cathedral hit another carved stone. It was the great temple. It had been eight feet under the traffic the entire time.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,12.6,https://news.voidvision.org/audio/history/fall-of-tenochtitlan.mp3,https://news.voidvision.org/history/fall-of-tenochtitlan/
The Fall of the Berlin Wall,fall-of-berlin-wall,written,rendered,"gate: warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,critical,revolution,bm_george,critical revolution: mid weight,bm_lewis,af_aoede,145.0,2015,1557,11.84,11.71,-0.13,warn H-10,5,The West German account | The East German dissidents | The Soviet view | The reunification critics | The global south,4,6,3,M+N,"Nobody decided to open it. There was no vote, no order, and no moment where a government concluded that the time had come. What there was, on the evening of the ninth of November nineteen eighty nine, was a spokesman reading from a note card about a policy he had not been briefed on, and then a middle ranking officer at a gate deciding not to start shooting. The Cold War's most photographed night was an administrative accident and one man's refusal.","The Wall stood for twenty eight years and eighty eight days. Germany was one country again eleven months later. The Soviet Union was gone twenty five months after that. Harald Jager was a career officer in the service that ran the border. He had been on that gate for decades, and the most beautiful day of his life was the day he stopped doing his job. And the last man shot trying to get over it died in February. Nine months before anyone could walk through.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,10.7,https://news.voidvision.org/audio/history/fall-of-berlin-wall.mp3,https://news.voidvision.org/history/fall-of-berlin-wall/
The French Revolution,french-revolution,written,rendered,"gate: warn H-10; warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",modern,,catastrophic,revolution,am_michael,"catastrophic revolution: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1601,12.54,12.24,-0.3,warn H-10; warn H-10,5,The republicans | The royalists | The enslaved | The colonies | Modern scholarship,4,5,4,F+M+N,"The founding act of the French revolution was the storming of a fortress that held seven prisoners. Four forgers, two men who were insane, and one young aristocrat whose family had put him there for bad behaviour. What the crowd took that day was not a population of captives. It was a building, and everybody involved understood that was the point. Four years later they executed the king. Eighteen months after that they were executing the men who had voted to execute the king.","The Declaration of the Rights of Man is the direct ancestor of every modern human rights instrument, and it was written by an assembly that within four years was executing its own members in batches. Both of those are the same document and the same decade. The revolution ended in November seventeen ninety nine, when an artillery officer from Corsica took power in a coup, exactly as Burke had said it would. And the fortress that started it was taken apart for building material. Its stones were carved into souvenirs and sold.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,11.2,https://news.voidvision.org/audio/history/french-revolution.mp3,https://news.voidvision.org/history/french-revolution/
The Global Struggle for Women's Suffrage,womens-suffrage,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",modern,,critical,cultural,bm_daniel,cultural: warm and unhurried,am_michael,af_aoede,168.0,2335,1925,12.56,12.96,0.4,clean,5,The suffrage movement | Socialist feminism | The non-Western movements | Anti-suffrage conservatism | Black women's suffrage,5,7,3,F+N,"Picture the order these countries came in. You will probably get it backwards. The most powerful woman on earth, Queen Victoria, spent her whole reign fighting the idea that women should vote at all. The first country where they actually could was not Britain or the United States. It was New Zealand, a farming colony, in eighteen ninety three. The last place in Europe did not choose to include women. In nineteen ninety, a court had to make it.","Appenzell Innerrhoden is the smallest canton in Switzerland, the last place in Europe where women could not vote. Its citizens decide things the old way, gathered outdoors, voting by raising their hands. On April twenty ninth, nineteen ninety, about three thousand men raised their hands against admitting women, the same gesture their fathers and grandfathers had made. Seven months later, on November twenty seventh, the Federal Supreme Court overruled them. Nobody in Appenzell Innerrhoden ever voted women's suffrage in. A court ordered it, and the hands went down.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,11.9,https://news.voidvision.org/audio/history/womens-suffrage.mp3,https://news.voidvision.org/history/womens-suffrage/
The Great Depression,great-depression,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,catastrophic,economic,am_michael,"catastrophic economic: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1675,13.06,13.3,0.24,clean,5,The Keynesian Account | The Monetarist and Austrian Account | The Unemployed | The Global Periphery | The Political Crisis,5,4,2,F+M+N,"You think you know this one. The market crashed in October nineteen twenty nine, and that crash was the Great Depression. The record says otherwise. The crash was a symptom, not the disease. The disease spread slowly, then everywhere. American unemployment did not peak the week of the crash, or even the year after it. It peaked in nineteen thirty three, four years later, at twenty four point nine percent, about fifteen million people out of work. Four years is a strange length for one bad afternoon on a trading floor.","US industrial output did not return to its nineteen twenty nine level until nineteen thirty nine. Ten years to get back to where it started, and even then, it took the wartime mobilization of a second global war to finish the job.",H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,12.2,https://news.voidvision.org/audio/history/great-depression.mp3,https://news.voidvision.org/history/great-depression/
The Great Leap Forward and the Great Chinese Famine,great-leap-forward,written,rendered,predates the institutional-voice convention: a report or agency may be read in the F voice,contemporary,,catastrophic,disaster,bm_lewis,catastrophic disaster: the gravest voice,bm_george,af_aoede,146.0,2029,1751,13.09,13.25,0.16,clean,5,The Party's Own Account | The Historians' Verdict | The Peasants Who Starved | The Contested Toll | The Purged Reformers,5,5,3,F+M+N,"You think this began with a bad harvest. It began with a steel target. In May of nineteen fifty eight, Mao Zedong told the party that China would overtake Britain in steel output within fifteen years. Then he cut the timeline to three. The nineteen fifty seven target of five point three five million tonnes became ten point seven million tonnes. About one million backyard furnaces went up across the countryside. Peasants melted their woks, their hoes, their door hinges into iron. A tonne from one of those furnaces cost roughly twice a tonne from a modern mill, and most of what came out of them was brittle and unusable. The villagers who fed those fires were pulled off the harvest to do it.","Tombstone was published in Hong Kong in two thousand eight. It has never been printed on the mainland. When Yang Jisheng was invited abroad to accept a journalism prize for writing it, the government would not let him travel.",institutional-voice convention,14,12.1,https://news.voidvision.org/audio/history/great-leap-forward.mp3,https://news.voidvision.org/history/great-leap-forward/
The Gutenberg Revolution,gutenberg-printing-press,written,rendered,"gate: warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",medieval,,critical,cultural,bm_daniel,cultural: warm and unhurried,am_michael,af_aoede,168.0,2335,1833,12.01,11.68,-0.33,warn H-10,5,The printers | The Catholic Church | The Chinese and Korean precedent | The pamphlet war | The information theorists,4,5,2,M+N,"Two things about the man whose name is on this. He did not invent printing. Chinese printers had been working from carved blocks since the ninth century. A man called Bi Sheng was setting movable ceramic characters around ten forty. Korean foundries were casting movable type in bronze by the twelve thirties, and the oldest surviving book printed that way came off a press at a Buddhist temple in thirteen seventy seven, seventy eight years before anything was printed in Mainz. And he did not keep it. Within months of finishing the Bible that carries his name, Johannes Gutenberg lost the press, the type and the unsold stock in a lawsuit, to the man who had lent him the money.","Fust and Schoffer's books are the first with a printer's name, a date and a place on the last page. Gutenberg's Bible has none of that on it. It is anonymous. The Index of Forbidden Books was maintained for four hundred and seven years, and abolished in nineteen sixty six. The pension that kept Gutenberg was paid in grain, wine and cloth. And the oldest surviving book printed with metal type sits in a library in Paris, four and a half thousand miles from the temple that made it.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,10.7,https://news.voidvision.org/audio/history/gutenberg-printing-press.mp3,https://news.voidvision.org/history/gutenberg-printing-press/
The Haitian Revolution,haitian-revolution,written,rendered,"gate: warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",early-modern,,critical,revolution,bm_george,critical revolution: mid weight,bm_lewis,af_aoede,145.0,2015,1526,11.62,12.1,0.48,warn H-10,5,The enslaved revolutionaries | The French colonial account | The Haitian nationalist account | The academic account | The indemnity,4,6,3,M+N,"There has been one successful slave revolution in recorded history. Not one that won concessions. One that took the colony, beat three European armies, and founded a country. It happened in the richest place in the Americas, and the country it created spent the next hundred and twenty two years paying France compensation for it. Paying, that is, for the property that France considered itself to have lost. The property was the people doing the paying.","In twenty twenty two, the New York Times worked out what the indemnity and its interest had actually cost, compounded across those hundred and twenty two years. Twenty one billion dollars. Haiti had calculated it too, to the cent, some years before. The figure they used was twenty one billion, six hundred and eighty five million, one hundred and thirty five thousand, five hundred and seventy one dollars and forty eight cents. They were precise on purpose. France had been precise when it worked out what they owed. There has been one successful slave revolution in recorded history, and the bill for it was settled in nineteen forty seven.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,11.1,https://news.voidvision.org/audio/history/haitian-revolution.mp3,https://news.voidvision.org/history/haitian-revolution/
The Holocaust,the-holocaust,written,rendered,"gate: warn H-10; warn H-10; warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,catastrophic,genocide,bm_lewis,catastrophic genocide: the gravest voice,bm_george,af_aoede,146.0,2029,1997,14.78,14.52,-0.26,warn H-10; warn H-10; warn H-10,5,The survivors | The bureaucracy | The bystander nations | The Zionist answer | The Roma,4,6,1,M+N,"The thing most people get wrong about this is not whether it happened. It is how. The picture in most heads is a secret, improvised in the dark by a small number of monsters, hidden from everyone not in the room. The record says otherwise. The record is a meeting that lasted ninety minutes, a railway that billed by the kilometre, and a fare schedule with a children's discount.","The word genocide did not exist until nineteen forty four, when a Polish Jewish lawyer named Raphael Lemkin built it out of Greek and Latin, because there was no word for what was being reported. Fifty two thousand survivors have since recorded their testimony. Anne Frank died at Bergen-Belsen, of typhus, a few weeks before the camp was liberated. She was fifteen. And the railway, when it invoiced the SS for the transports, charged the full adult rate above ten, half for children under ten, and nothing at all for children under four.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,13.3,https://news.voidvision.org/audio/history/the-holocaust.mp3,https://news.voidvision.org/history/the-holocaust/
The Holodomor,holodomor,written,rendered,predates the institutional-voice convention: a report or agency may be read in the F voice,modern,,catastrophic,genocide,bm_lewis,catastrophic genocide: the gravest voice,bm_george,af_aoede,146.0,2029,1921,14.26,14.54,0.28,clean,5,The Soviet state | The Ukrainian survivor | The Western press corps | The Ukrainian national account | The archival record,4,6,2,F+M+N,"You think of this as a famine, meaning there was not enough food. There was food. The nineteen thirty two Ukrainian harvest came in at fourteen point six million tons, against a normal year of twenty three million, and Moscow's quota for that harvest was seven point seven million tons anyway. Between nineteen thirty and nineteen thirty three the Soviet Union exported roughly five point eight million tons of grain, and at the exact peak of the famine, the winter of nineteen thirty two into nineteen thirty three, one point eight million tons of it left the country by ship. A famine is a shortage. This was a surplus, requisitioned, and shipped out the door while the people who grew it were sealed inside to starve.","In two thousand three, the Pulitzer Board commissioned Columbia University historian Mark von Hagen to review Duranty's Soviet reporting. He recommended the prize be revoked. The board declined, and said the prize had been awarded for reporting in a different period. Duranty's nineteen thirty one Soviet coverage is still listed in the Pulitzer archive. No annotation, no caveat, no asterisk.",institutional-voice convention,13,13.3,https://news.voidvision.org/audio/history/holodomor.mp3,https://news.voidvision.org/history/holodomor/
The Indian Independence Movement,indian-independence-movement,written,rendered,"OVER the 15 min format ceiling at 15.36 (audio gate allows 15.5): re-cut the script or accept // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the institutional-voice convention: a report or agency may be read in the F voice",modern,,critical,independence,am_michael,critical independence,bm_daniel,af_aoede,140.0,1946,1849,14.31,15.36,1.05,clean,5,Gandhian / Indian National Congress | Revolutionary / Armed Resistance | British Colonial | Dalit / Ambedkarite | Muslim League,8,8,4,M+N,"You think you know how this one ends. A lawyer put down his suit, wrapped himself in homespun cloth, and walked to the sea to pick up salt. An empire cracked. That part is true. It is not the whole story. In the same decades, a twenty three year old threw a bomb built to make noise, not kill, and was hanged for it. A famine killed three million people. A navy mutinied. A war left the empire unable to pay its own debts. Independence had more than one author, and some of them never renounced violence.","Ambedkar chaired the committee that wrote India's constitution. It was adopted on January twenty sixth, nineteen fifty. Six weeks before his death, in October nineteen fifty six, he converted to Buddhism at Deekshabhoomi in Nagpur, along with six hundred thousand followers. The largest mass religious conversion in recorded history. He was not converting away from a foreign ruler. There had not been one in his country for nine years.",H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,17,14.1,https://news.voidvision.org/audio/history/indian-independence-movement.mp3,https://news.voidvision.org/history/indian-independence-movement/
